image_name,question,comments_user1,comments_user2,hard_user1,hard_user2,score_user1,score_user2
52e2d0424c55b10ff3d8992cc12c30771037dbf852547848702e7ed2964e_640.png,1,,,false,,1.0,
52e2d0424c55b10ff3d8992cc12c30771037dbf852547848702e7ed2964e_640.png,4,,,false,,1.0,
53e0d2474f56ac14f1dc8460962e33791c3ad6e04e50744172277fd7964ec6_640.png,1,,,false,false,7.0,5.0
53e0d2474f56ac14f1dc8460962e33791c3ad6e04e50744172277fd7964ec6_640.png,2,,,,false,,5.0
53e0d2474f56ac14f1dc8460962e33791c3ad6e04e50744172277fd7964ec6_640.png,3,,,,false,,5.0
luggage-1650171_640.png,1,,,,false,,7.0
nature-2609978_640.png,1,,,false,false,1.0,5.0
nature-2609978_640.png,2,,,,false,,1.0
nature-2609978_640.png,4,,,false,false,5.0,1.0
nature-2609978_640.png,5,,,false,,5.0,
playing-card-842037_640.png,1,,,false,false,7.0,5.0
playing-card-842037_640.png,2,,,,false,,5.0
playing-card-842037_640.png,3,,,,false,,1.0
playing-card-842037_640.png,4,,,,false,,1.0
